pop_size,max_iter,test_profit
30,10,85.9817423909314
30,30,113.70967665978613
30,50,135.41155444513717
30,80,222.13473108046549
50,10,179.5041945604018
50,30,135.41155444513717
50,50,135.57197329924418
50,80,140.1217346858228
100,10,124.85907995126891
100,30,104.92117906962953
100,50,142.40899028884238
100,80,179.5041945604018
200,10,177.1258435573141
200,30,228.49411225144092
200,50,196.01160623362418
200,80,196.01160623362418
