optimizer,best_params,run,score
IGWO,"[9.41652455e-02 9.64478946e-01 1.78355340e-01 6.05916306e+01
 8.22112914e+01 1.63963312e+02 7.16578888e-01 9.33352341e-01
 9.09124049e-01 1.54399013e-01 1.08857705e+02 1.29248421e+02
 3.40389671e+01 5.63784157e-01]",24,2434.445650014332
IGWO,"[2.71360017e-02 4.98943299e-01 4.09460207e-01 1.23645349e+02
 8.08590216e+01 5.57651183e+01 6.29250100e-01 7.54580374e-01
 1.61532684e-03 4.19813927e-01 1.10398794e+02 1.41097909e+02
 4.02810951e+01 4.69904915e-01]",25,2832.0421919142746
IGWO,"[  0.49766082   0.34245247   0.54616368  72.73326559  74.41698515
  60.18348815   0.54672706   0.61819891   0.91765019   0.84613748
  79.40629452 129.97348892  92.2178509    0.58150004]",26,2894.661257190533
IGWO,"[1.10275921e-02 9.79694806e-01 8.73172529e-02 8.40401491e+01
 9.86453528e+01 1.01548431e+02 2.07080687e-01 7.16891612e-01
 8.94435459e-03 3.54796287e-04 1.05406923e+02 1.40473583e+02
 6.17784918e+01 9.50000000e-01]",27,2731.810096250537
IGWO,"[9.65712467e-01 7.88187112e-01 1.57767107e-01 7.39129942e+01
 5.57041953e+01 1.54358102e+02 5.68139966e-01 7.25603179e-01
 4.67284628e-02 1.32227609e-03 1.04439215e+02 1.37891087e+02
 1.89947910e+02 3.98120023e-01]",28,3367.9597196391364
IGWO,"[  0.42686564   0.27553875   0.33542418  72.23084085  52.92408843
  36.99152494   0.59489564   0.79067814   0.27608753   0.32015239
 100.27875623 157.25268812  21.81938186   0.57831248]",29,2518.2486837248716
IGWO,"[1.58748388e-01 5.54606928e-01 2.18245398e-01 8.67662369e+01
 8.36879786e+01 1.90973376e+02 3.83320581e-01 8.74553501e-01
 3.57605207e-01 1.80778494e-01 1.00116105e+02 1.46555639e+02
 7.11037442e+01 2.94864365e-01]",30,2532.893330104562
IGWO,"[  0.43602622   0.31611684   0.66192859  43.13927496 106.55113676
  87.98871312   0.95         0.75978684   0.           0.27190487
 120.4147533   37.22365395  60.84605866   0.95      ]",31,1750.1384466685363
IGWO,"[  0.19196812   0.99730746   0.92643619  39.08872454  89.70408911
  49.8187603    0.76803816   0.89639354   0.36139256   0.79810104
 110.71274333 134.12436966  98.72838553   0.75279403]",32,2550.052380767533
IGWO,"[8.67947638e-01 2.61441630e-01 2.98910485e-01 7.19231763e+01
 1.88383309e+02 1.37803275e+02 3.09554482e-01 3.93613230e-01
 3.69343550e-01 1.78480573e-01 1.23658375e+02 1.08565151e+02
 7.51201677e+01 2.41314137e-01]",33,2271.961688922592
